GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chat-service,com.messenger.chat.controller,HealthController,40,0,0,0,10,0,3,0,3,0
chat-service,com.messenger.chat.controller,ChatController,65,0,0,0,15,0,7,0,7,0
chat-service,com.messenger.chat.controller,WebSocketController,30,0,0,0,7,0,3,0,3,0
chat-service,com.messenger,ChatApplication,5,3,0,0,2,1,1,1,1,1
chat-service,com.messenger.chat.entity,Message,341,63,78,0,1,11,45,17,6,17
chat-service,com.messenger.chat.entity,ChatParticipant.Role,0,15,0,0,0,2,0,1,0,1
chat-service,com.messenger.chat.entity,Chat.ChatType,0,15,0,0,0,2,0,1,0,1
chat-service,com.messenger.chat.entity,Chat,283,48,62,0,2,9,39,11,8,11
chat-service,com.messenger.chat.entity,ChatParticipant,212,28,46,0,2,5,30,8,7,8
chat-service,com.messenger.chat.entity,ChatParticipantId,123,3,22,0,4,1,20,1,9,1
chat-service,com.messenger.chat.exception,GlobalExceptionHandler,61,0,0,0,12,0,3,0,3,0
chat-service,com.messenger.chat.exception,ChatException,0,4,0,0,0,2,0,1,0,1
chat-service,com.messenger.chat.dto,ChatResponse,306,40,62,0,4,5,45,6,14,6
chat-service,com.messenger.chat.dto,KafkaMessageEvent.KafkaMessageEventBuilder,17,49,0,0,0,1,1,8,1,8
chat-service,com.messenger.chat.dto,MessageRequest,99,17,22,0,0,3,15,5,4,5
chat-service,com.messenger.chat.dto,ChatResponse.ParticipantInfo.ParticipantInfoBuilder,38,0,0,0,1,0,6,0,6,0
chat-service,com.messenger.chat.dto,ChatResponse.ChatResponseBuilder,27,51,0,0,0,1,2,8,2,8
chat-service,com.messenger.chat.dto,MessageResponse,344,43,70,0,5,5,51,6,16,6
chat-service,com.messenger.chat.dto,ChatResponse.ParticipantInfo,170,0,30,0,5,0,27,0,12,0
chat-service,com.messenger.chat.dto,MessageResponse.MessageResponseBuilder,22,63,0,0,0,1,1,10,1,10
chat-service,com.messenger.chat.dto,WebSocketMessage,202,35,46,0,1,5,28,10,5,10
chat-service,com.messenger.chat.dto,ChatResponse.MessageInfo.MessageInfoBuilder,48,0,0,0,1,0,7,0,7,0
chat-service,com.messenger.chat.dto,ChatRequest,132,24,30,0,0,4,19,7,4,7
chat-service,com.messenger.chat.dto,KafkaMessageEvent,252,48,53,1,0,8,36,9,9,9
chat-service,com.messenger.chat.dto,ParticipantRequest,76,0,14,0,2,0,14,0,7,0
chat-service,com.messenger.chat.dto,ChatResponse.MessageInfo,214,0,38,0,6,0,33,0,14,0
chat-service,com.messenger.chat.config,KafkaConfig,45,0,0,0,9,0,3,0,3,0
chat-service,com.messenger.chat.config,WebSocketConfig,48,0,0,0,9,0,3,0,3,0
chat-service,com.messenger.chat.service,ChatService,83,284,3,17,17,67,6,20,4,12
chat-service,com.messenger.chat.service,MessageService,7,230,0,6,2,53,0,8,0,5
chat-service,com.messenger.chat.service,KafkaProducerService,5,55,0,0,2,14,0,4,0,4
